,SHANGHAI SE A SHARE - PRICE INDEX,MSCI INDONESIA - PRICE INDEX,KOREA SE COMPOSITE (KOSPI) - PRICE INDEX,MSCI MALAYSIA - PRICE INDEX,PHILIPPINE SE I(PSEi) - PRICE INDEX,TAIWAN SE WEIGHED TAIEX - PRICE INDEX,MSCI THAILAND - PRICE INDEX
2/01/1992,293.75,393.432,610.92,189.65,1172.78,4600.67,244.025
3/01/1992,296.52,394.612,624.23,189.726,1221.16,4612.97,245.313
6/01/1992,298.77,397.275,650.1,191.533,1231.24,4692.17,249.551
7/01/1992,298.77,393.707,645.27,191.11,1241.48,4718.81,253.739
8/01/1992,299.66,399.651,625.85,190.467,1227.39,4772.61,251.276
9/01/1992,300.62,401.021,637.11,190.185,1208.09,4803.51,252.44
10/01/1992,301.83,399.615,619.47,190.27,1219.83,4782.82,253.719
13/01/1992,303.06,405.459,609.9,189.147,1224.34,4904.43,254.576
14/01/1992,305.74,404.511,616.12,188.567,1236.66,4947.16,256.955
15/01/1992,306.63,401.339,604.63,190.562,1260.5,4939.07,260.52
16/01/1992,306.85,399.628,610.19,196.045,1276.79,5022.96,265.776
17/01/1992,307.38,402.942,616.72,195.481,1303.3,5045.94,270.225
20/01/1992,307.39,401.421,633.87,195.55,1303,5102.64,272.902
21/01/1992,307.87,404.22,630,195.034,1301,5135.35,271.577
22/01/1992,307.95,406.188,646.28,196.574,1281.31,5131.42,270.021
23/01/1992,308.53,407.57,667.47,196.7,1282.28,5122.01,271.481
24/01/1992,309.05,413.108,658.04,195.64,1278.68,5243.6,271.31
27/01/1992,311.61,415.941,675.11,195.009,1268.2,5341.49,268.396
28/01/1992,311.84,424.991,665.96,195.011,1230.59,5312.67,266.134
29/01/1992,312.42,435.521,659.28,195.208,1242.04,5390.05,267.264
30/01/1992,312.73,451.185,664.13,193.933,1231.03,5391.63,265.518
31/01/1992,313.24,467.306,680.51,195.497,1255.97,5391.63,265.787
3/02/1992,314.18,480.464,680.51,195.497,1267.28,5391.63,267.472
4/02/1992,314.18,474.328,691.37,195.497,1261.94,5391.63,267.737
5/02/1992,314.18,474.837,691.37,195.497,1246.87,5391.63,265.813
6/02/1992,314.18,464.174,690.84,197.248,1252.37,5391.63,265.048
7/02/1992,314.72,475.304,690.9,201.864,1253.57,5237.37,265.842
10/02/1992,315.56,471.518,687.18,206.635,1234.53,5204.55,266.276
11/02/1992,316.43,463.977,674.32,206.717,1212.79,5072.04,267.443
12/02/1992,316.44,464.847,664.23,205.222,1225.48,5061.6,273.691
13/02/1992,317.04,467.577,656.49,203.83,1219.32,5088.1,272.389
14/02/1992,319.68,468.604,658.63,204.293,1201.75,5023.41,271.887
17/02/1992,319.77,467.038,640.14,204.338,1179.1,4859.48,276.603
18/02/1992,337.11,458.753,638.22,207.924,1176.57,4766.91,276.603
19/02/1992,342.41,446.42,648.13,210.155,1141.01,4839.42,272.937
20/02/1992,347.99,442.702,632.66,210.282,1139.36,4995.32,271.843
21/02/1992,351.22,450.435,632.91,210.541,1156.08,4950.37,273.219
24/02/1992,352.24,451.72,637.73,208.766,1188.31,5070.24,279.354
25/02/1992,354.59,444.701,632.07,205.167,1215.15,4987.73,277.961
26/02/1992,356.49,444.678,621.42,206.665,1193.48,4951.5,273.886
27/02/1992,358,444.946,624.36,205.839,1201.11,5019.22,268.834
28/02/1992,360.46,446.92,614.99,206.623,1183.67,5031.69,267.998
2/03/1992,362.38,447.277,620.65,205.573,1171.83,5144.37,263.574
3/03/1992,364.46,454.914,615.92,203.542,1157.46,5056.64,267.94
4/03/1992,365.92,455.042,630.47,203.947,1159.98,5066.4,269.511
5/03/1992,367.69,455.042,619.23,202.095,1157.61,5033.53,271.803
6/03/1992,369.47,454.805,626.09,200.861,1118.81,4988.08,273.235
9/03/1992,371.45,455.952,628.02,198.382,1106.38,4923.03,271.001
10/03/1992,373.06,452.594,628.02,199.397,1116.71,4926.2,271.566
11/03/1992,374.36,454.344,619.05,200.557,1120.03,4965.48,274.861
12/03/1992,375.51,454.962,619.11,201.946,1118.21,4984.86,275.816
13/03/1992,374.91,455.112,614.58,202.781,1122.63,5030.63,275.604
16/03/1992,375.65,452.253,608.36,200.667,1106.61,5012.96,271.406
17/03/1992,376.42,445.088,615.19,200.738,1083.01,4890.32,271.895
18/03/1992,377.17,439.979,614.36,201.793,1101.27,4851.95,275.888
19/03/1992,377.35,443.016,612.67,201.741,1105.07,4810.23,277.769
20/03/1992,378.1,440.618,615.39,202.801,1120.17,4818.18,279.761
23/03/1992,379.22,440.089,624.13,204.567,1101.79,4685.16,285.715
24/03/1992,379.44,448.505,624.13,205.06,1094.63,4790.1,283.926
25/03/1992,378.8,447.688,607.83,205.042,1088.95,4721.25,285.022
26/03/1992,380.22,445.973,611.7,203.766,1086.6,4792.54,284.245
27/03/1992,381.83,442.621,617.38,203.096,1086.11,4817.35,286.198
30/03/1992,382.91,443.82,597.69,201.923,1091.19,4833.47,286.556
31/03/1992,383.09,443.45,606.32,200.102,1092.94,4800.94,284.676
1/04/1992,383.24,447.143,599,197.721,1099.81,4676.48,283.702
2/04/1992,383.55,447.081,585.67,198.115,1102.95,4733.96,283.666
3/04/1992,383.98,447.081,596.39,198.108,1111.77,4733.96,284.902
6/04/1992,384.33,447.081,590.02,198.108,1131.43,4652.1,284.902
7/04/1992,384.63,447.081,579.09,198.108,1139.82,4613.74,286.12
8/04/1992,385.17,447.081,572.97,192.396,1135.99,4552.46,283.304
9/04/1992,384.53,445.085,575.98,189.518,1135.99,4528.05,277.422
10/04/1992,384.74,442.553,569.65,193.623,1134.83,4563.85,280.086
13/04/1992,394.58,440.262,578.19,191.94,1136.09,4405.44,280.086
14/04/1992,404.88,435.306,575.56,190.614,1149.24,4461.98,280.086
15/04/1992,411.49,431.948,578.11,191.089,1170.8,4439.66,279.747
16/04/1992,415.65,427.351,587.33,193.981,1170.8,4538.52,280.052
17/04/1992,419.84,427.351,587.72,194.387,1170.8,4503.22,282.891
20/04/1992,419.23,426.369,587.81,193.007,1176.22,4547.74,278.993
21/04/1992,415.12,430.263,588.51,192.593,1171.54,4556.09,271.178
22/04/1992,404.08,431.914,584.22,193.12,1164.39,4505.07,271.507
23/04/1992,411.66,437.556,582.87,195.753,1178.3,4470.31,274.841
24/04/1992,417.78,440.139,595.88,196.784,1174.68,4480.12,273.695
27/04/1992,429.23,434.907,608.06,195.489,1190.87,4486.45,267.556
28/04/1992,441.3,435.289,597.24,195.323,1211.48,4523.95,265.611
29/04/1992,448.82,442.128,612.72,194.82,1228.24,4513.19,261.969
30/04/1992,450.15,445.448,615.97,196.285,1239.02,4496.19,263.524
1/05/1992,450.15,448.044,620.37,196.285,1239.02,4545.18,263.524
4/05/1992,459.08,453.63,620.33,198.707,1245.83,4539.47,264.533
5/05/1992,454.3,458.81,620.33,200.19,1245.52,4536.53,264.533
6/05/1992,455.53,465.877,611.85,199.303,1209.74,4482.25,252.161
7/05/1992,461.03,476.689,603.34,198.814,1213.45,4481.29,250.437
8/05/1992,475.83,485.23,599.25,198.045,1235.02,4462.61,258.206
11/05/1992,501.82,469.299,587.52,197.052,1235.02,4268.17,269.831
12/05/1992,518.54,472.048,586.4,196.291,1235.02,4289.24,262.308
13/05/1992,527.03,474.967,592.29,195.429,1328.04,4326.38,255.834
14/05/1992,537.45,475.623,587.56,194.376,1337.35,4300.6,255.647
15/05/1992,559.96,474.393,589.3,193.635,1338.37,4292.46,256.948
18/05/1992,588.15,474.972,588.05,193.635,1317.11,4437.63,256.948
19/05/1992,616.9,476.084,587.97,193.433,1338.95,4500.82,233.601
20/05/1992,636.56,478.367,579.91,194.04,1358.2,4560,236.679
21/05/1992,1341.11,482.713,573.83,193.682,1376.8,4563.67,258.871
22/05/1992,1415.88,482.221,582.88,193.606,1379.69,4623.94,251.032
25/05/1992,1503.2,482.212,571.39,193.353,1432.84,4634.33,258.803
26/05/1992,1371.42,484.126,569.51,193.542,1440.91,4540,254.725
27/05/1992,1254.59,484.45,585.23,193.762,1421.83,4541.38,252.666
28/05/1992,1224,484.45,578.63,193.002,1403.35,4501.02,249.689
29/05/1992,1303.25,490.176,570.93,191.401,1399.32,4519.27,244.586
1/06/1992,1246.13,486.523,569.19,190.794,1387.92,4456.85,248.373
2/06/1992,1201.12,494.361,567.34,191.558,1405.72,4468.94,241.778
3/06/1992,1112.16,500.081,568.98,191.741,1439.42,4583.97,241.277
4/06/1992,1161.4,509.492,568.81,191.308,1496.73,4586.61,243.616
5/06/1992,1163.43,512.776,569.2,191.858,1517.21,4586.61,249.439
8/06/1992,1150.49,529.241,563.65,191.346,1580.28,4565.04,248.176
9/06/1992,1185.87,529.241,561.76,190.877,1568.25,4526.65,243.018
10/06/1992,1251.43,540.583,562.87,191.508,1573.34,4633.8,243.718
11/06/1992,1241.96,540.583,570.5,191.508,1580.95,4597.19,261.719
12/06/1992,1235.22,539.324,566.2,192.648,1580.95,4681.07,260.419
15/06/1992,1235.37,538.005,579.81,195.28,1575.56,4672.49,260.399
16/06/1992,1229.78,538.743,579.95,195.062,1578.48,4637.78,262.242
17/06/1992,1233.34,538.775,576.72,194.044,1535.82,4603.9,264.051
18/06/1992,1233.43,538.106,563.85,192.683,1499.78,4628.78,264.758
19/06/1992,1237.69,538.991,571.02,193.506,1493.92,4587.85,264.557
22/06/1992,1236.32,527.139,558.32,192.474,1519.54,4697.66,264.37
23/06/1992,1223.95,529.247,559.99,193.212,1453.86,4690.48,263.007
24/06/1992,1215.43,518.664,551.99,192.729,1477.57,4655.08,264.868
25/06/1992,1224.96,513.402,548.3,194.465,1477.9,4565.01,265.479
26/06/1992,1230,512.234,552.09,193.771,1525.31,4501.97,264.943
29/06/1992,1235.49,508.319,551.55,192.633,1555.81,4467.5,263.373
30/06/1992,1259.07,497.544,552.03,192.002,1555.81,4523.81,262.892
1/07/1992,1268.83,499.698,551.98,193.222,1524.09,4523.81,262.892
2/07/1992,1265.58,499.698,548.28,193.222,1513.57,4454.08,260.65
3/07/1992,1269.37,502.836,547.2,193.095,1477.16,4455.98,259.533
6/07/1992,1284.66,501.188,535.72,192.616,1496.33,4511.97,256.793
7/07/1992,1291.08,501.201,535.34,192.542,1496.33,4432.22,257.489
8/07/1992,1267.28,500.791,531.79,191.808,1481.82,4329.31,256.424
9/07/1992,1260.25,501.279,523.07,193.109,1435.52,4337.99,259.158
10/07/1992,1271.07,503.835,523.88,195.893,1476.28,4316.79,257.732
13/07/1992,1212.93,503.767,512.54,197.567,1444.73,4312.38,256.789
14/07/1992,1187.81,506.108,527.08,197.72,1437.79,4307.69,258.25
15/07/1992,1181.13,505.301,514.19,195.69,1428.41,4352.51,258.25
16/07/1992,1201.34,506.231,511.61,195.281,1451.5,4349.68,259.832
17/07/1992,1199.23,505.557,514.19,194.033,1449.48,4282.6,262.086
20/07/1992,1171.15,504.938,505.3,193.622,1453,4147.59,263.113
21/07/1992,1153.15,505.384,511.84,195.45,1433.04,4159.02,261.202
22/07/1992,1099.3,502.544,526,195.675,1453.79,4154.8,262.613
23/07/1992,1076.72,502.385,518.53,193.811,1470.76,3978.87,260.626
24/07/1992,1219.7,505.148,521.99,190.862,1463.39,4022.16,258.87
27/07/1992,1230.64,504.036,517.48,190.761,1475.1,4008.22,256.843
28/07/1992,1181.63,503.543,514.45,189.545,1477.67,3959.1,256.638
29/07/1992,1162.94,502.049,508.84,189.678,1485.31,3947.32,256.694
30/07/1992,1126.84,503.538,509.23,191.611,1495.72,4029.53,258.593
31/07/1992,1120.39,500.142,509.95,192.513,1499.5,4108.52,259.135
3/08/1992,1097.3,501.741,508.63,192.067,1479.82,4072.08,263.694
4/08/1992,1101.83,499.55,501.48,193.129,1491.98,4088.18,264.332
5/08/1992,1075.21,498.124,493.33,192.663,1485.85,4134.91,269.536
6/08/1992,1063.53,497.845,500.04,191.369,1463.8,4122.78,271.76
7/08/1992,1066.19,496.378,495.22,190.868,1462.76,4082.9,270.401
10/08/1992,1018.72,495.955,507.88,191.097,1445.65,3951.73,266.502
11/08/1992,903.82,496.945,502.45,191.075,1445.67,3958.28,266.65
12/08/1992,811.67,488.223,492.66,189.691,1471.25,3901.61,266.65
13/08/1992,890.39,489.839,488.25,188.913,1491.46,3893.34,266.378
14/08/1992,899.47,487.121,478.9,185.754,1520.17,3914.9,266.294
17/08/1992,991.26,487.121,462.13,181.582,1519.85,3784.48,265.176
18/08/1992,984.73,483.813,464.95,177.525,1523.68,3772.91,265.829
19/08/1992,992.18,475.325,479.09,179.371,1517.34,3733.93,267.601
20/08/1992,984.66,468.008,467.7,180.799,1490.57,3733.06,266.881
21/08/1992,966.8,465.554,459.07,181.902,1475.21,3866.22,266.947
24/08/1992,930.41,466.26,483.73,180.994,1455.71,3850.68,266.576
25/08/1992,893.46,465.869,494.5,178.731,1440.45,3816.38,265.274
26/08/1992,925.54,464.298,513.87,178.913,1454.49,3793.03,264.902
27/08/1992,910.88,465.68,520.61,181.79,1426.31,3800.97,263.937
28/08/1992,898.87,465.799,518.56,183.669,1386.77,3852.45,263.761
31/08/1992,868.54,462.942,562.8,183.669,1376.66,3946.35,262.582
1/09/1992,871.35,467.071,558.6,183.142,1366.91,3960.45,263.142
2/09/1992,828.92,465.662,562.74,183.279,1392.34,3933.61,264.611
3/09/1992,804.87,467.271,563.94,185.435,1392.27,3888.49,264.688
4/09/1992,794.15,465.968,544.08,186.933,1392,3888.49,263.105
7/09/1992,736.89,466.611,557.59,188.13,1413.7,3852.27,264.161
8/09/1992,669.81,465.354,553.35,188.911,1412.9,3758.38,266.172
9/09/1992,662.99,465.354,551.12,188.911,1407.47,3770.12,273.433
10/09/1992,731.99,459.103,551.12,188.211,1412,3785.5,276.295
11/09/1992,831.12,456.508,551.12,187.275,1417.96,3785.5,280.706
14/09/1992,780.91,456.615,551.31,188.245,1418.51,3685.04,287.26
15/09/1992,783.84,456.411,544.82,189.192,1429.27,3716.72,288.063
16/09/1992,821.72,458.636,539.3,188.892,1433.44,3664.52,286.474
17/09/1992,814.97,458.478,533.66,189.798,1427.02,3441.69,289.053
18/09/1992,807,458.171,535.02,190.365,1421.33,3437.6,292.562
21/09/1992,780.92,455.541,521.54,190.709,1410.65,3481.9,303.569
22/09/1992,767.76,457.413,519.16,190.402,1396.15,3524.75,300.953
23/09/1992,755.68,459.563,524.35,191.338,1387.55,3529.42,302.988
24/09/1992,777.87,459.82,523.35,192.244,1386.42,3540.48,299.812
25/09/1992,778.52,458.61,525.57,196.371,1389.61,3472.5,299.109
28/09/1992,772.07,458.458,516.04,198.504,1386.47,3472.5,296.382
29/09/1992,756.5,459.917,514.11,197.268,1395.36,3397.29,297.293
30/09/1992,747.15,459.345,513.82,196.708,1404.54,3524.21,296.115
1/10/1992,747.15,460.74,508.76,195.033,1418.11,3584.08,298.954
2/10/1992,747.15,462.313,513.12,194.117,1428.78,3717.71,304.274
5/10/1992,719.76,461.685,502.22,193.728,1442.65,3720.45,304.037
6/10/1992,715.62,460.339,507.76,192.82,1417.78,3562.87,299.318
7/10/1992,707.07,459.552,524.38,192.811,1407.8,3592.12,300.545
8/10/1992,681.35,459.477,518.43,192.759,1403.82,3688.21,305.187
9/10/1992,702.22,465.136,524.27,196.155,1408.13,3622.75,306.327
12/10/1992,738.98,466.264,514.9,197.234,1391.88,3602.83,301.406
13/10/1992,719.67,467.17,514.39,198.295,1398.56,3602.96,300.551
14/10/1992,707.64,470.991,524.96,198.776,1386.81,3633.22,303.599
15/10/1992,707.42,470.844,521.85,199.229,1368.34,3729.02,301.27
16/10/1992,708.99,469.775,518.91,199.389,1371.11,3707.18,301.249
19/10/1992,670.11,471.054,539.7,201.732,1357.61,3734.51,300.097
20/10/1992,651.47,471.752,540.45,202.151,1344.41,3724.17,302.689
21/10/1992,615.39,471.795,559.71,202.932,1353.86,3694.38,303.432
22/10/1992,560.52,471.486,568.97,205.437,1327.68,3699.23,315.378
23/10/1992,584.25,471.699,571.34,207.818,1321.41,3662.6,315.378
26/10/1992,521.94,469.776,582.74,207.818,1321.41,3662.6,321.208
27/10/1992,453.28,469.635,584.1,209.223,1322.14,3647.97,318.051
28/10/1992,467.09,469.876,585.34,208.82,1331.35,3670.9,320.23
29/10/1992,489.32,467.591,605.78,211.049,1357.01,3640.9,326.738
30/10/1992,512.1,467.324,610.09,213.072,1361.4,3631.73,330.879
2/11/1992,471.84,467.457,621.97,215.787,1361.4,3559.51,333.913
3/11/1992,466.88,466.466,605.52,217.736,1352.52,3559.66,329.474
4/11/1992,457.12,465.545,619,220.64,1362.57,3506.05,334.547
5/11/1992,450.03,464.167,631.31,220.507,1356.66,3593.41,334.705
6/11/1992,445.79,463.76,644.94,220.131,1350.68,3532.61,329.985
9/11/1992,416.55,460.281,686.81,219.671,1345.66,3530.14,324.645
10/11/1992,382.55,460.188,676.86,217.217,1337.17,3534.53,318.729
11/11/1992,391.28,457.782,658.96,216.82,1335.29,3570.89,322.596
12/11/1992,396.62,452.609,636.99,218.806,1340.99,3570.89,316.185
13/11/1992,393.41,444.785,652.97,218.755,1346.92,3555.51,314.812
16/11/1992,376.69,436.604,616.64,217.441,1339.57,3588.44,311.637
17/11/1992,369.94,435.019,631.42,215.733,1324.23,3583.71,313.135
18/11/1992,387.44,430.723,621.25,215.175,1315.16,3660.1,309.154
19/11/1992,378.62,423.105,632.49,213.502,1310.59,3682.38,302.341
20/11/1992,380.57,425.266,635.55,216.648,1303.63,3724.33,316.684
23/11/1992,391.27,424.403,669.46,216.791,1299.57,3698.51,316.81
24/11/1992,425.28,421.965,655.05,216.316,1291.68,3687.22,312.426
25/11/1992,576.1,419.441,652.47,215.904,1281.18,3673.51,310.016
26/11/1992,565.19,422.11,660.94,214.976,1263.69,3676.56,312.989
27/11/1992,651.53,419.979,650.85,216.017,1263.58,3681.94,316.349
30/11/1992,750.82,422.901,663.36,216.162,1263.58,3675.01,314.978
1/12/1992,741.93,421.038,659.93,214.244,1266.48,3646.76,314.757
2/12/1992,748.46,419.076,650.2,215.719,1273.4,3635.7,320.681
3/12/1992,846.97,416.83,638.93,213.547,1279.54,3614.08,317.924
4/12/1992,845.78,413.995,635.28,213.795,1279.54,3651.39,315.528
7/12/1992,830.84,411.822,616.21,213.522,1284.24,3755.77,315.528
8/12/1992,787.27,412.509,625.61,213.205,1278.59,3761.01,310.288
9/12/1992,700.83,410.389,620.74,212.311,1265.96,3776.55,310.439
10/12/1992,643.62,416.009,642.03,211.995,1248.84,3746.75,310.439
11/12/1992,751.56,415.945,645.7,211.59,1232.36,3734.3,311.145
14/12/1992,732.43,416.26,651.23,209.911,1202.56,3696.76,311.376
15/12/1992,707.13,409.504,650.21,208.418,1183.49,3688.26,308.286
16/12/1992,711.78,401.699,654.09,210.2,1222.91,3674.92,307.802
17/12/1992,736.64,398.812,660.6,211.628,1226.73,3668.67,310.488
18/12/1992,727.07,396.823,660.6,213.166,1215.81,3657.99,309.743
21/12/1992,764.79,391.933,653.46,214.864,1207.5,3576.09,315.83
22/12/1992,757.95,396.077,657.01,214.924,1207.16,3579.97,312.795
23/12/1992,763.07,395.234,670.43,214.639,1223.67,3448.15,313.265
24/12/1992,793.01,394.621,675.36,215.145,1234.57,3456,312.85
25/12/1992,798.6,394.621,687.93,215.145,1234.57,3456,312.85
28/12/1992,790.41,393.525,678.44,214.758,1241.01,3327.67,319.057
29/12/1992,803.26,392.887,678.44,213.881,1256.22,3377.06,319.332
30/12/1992,801.06,401.332,678.44,213.777,1256.22,3377.06,321.018
31/12/1992,815.8,401.332,678.44,213.289,1256.22,3377.06,321.018
1/01/1993,815.8,401.332,678.44,213.289,1256.22,3377.06,321.018
4/01/1993,854.15,399.882,697.41,209.392,1270.68,3377.06,318.713
5/01/1993,903.39,399.173,690.79,208.755,1274.61,3342.18,321.095
6/01/1993,890.25,401.445,688.4,210.004,1277.42,3188.44,326.357
7/01/1993,914.13,404.649,696.95,211.644,1292.21,3135.56,331.742
8/01/1993,936.6,409.545,704.5,208.415,1313.31,3171.99,334.432
11/01/1993,1032.37,408.097,708.42,205.25,1314.09,3171.24,336.608
12/01/1993,1024.31,405.94,703.05,203.92,1308.17,3217.55,340.097
13/01/1993,1062.69,404.812,705.93,203.042,1320.76,3227.93,340.587
14/01/1993,1126.28,405.935,692.23,205.421,1320.55,3297.56,345.513
15/01/1993,1094.98,407.943,693.29,204.613,1312.55,3314.83,348.37
18/01/1993,1089.68,409.21,693.23,207.722,1306.65,3356.8,344.386
19/01/1993,1025.45,409.487,699.32,207.5,1282.99,3420.62,350.618
20/01/1993,1078.68,409.487,700,206.624,1309.68,3420.62,355.797
21/01/1993,1111.01,407.798,699.92,207.853,1331.24,3420.62,356.423
22/01/1993,1135.13,407.319,699.92,207.853,1341.7,3420.62,362.702
25/01/1993,1135.13,407.578,707.61,207.853,1340.14,3420.62,368.781
26/01/1993,1135.13,406.594,702.5,209.368,1317.31,3420.62,364.982
27/01/1993,1205.22,405.023,694.57,208.589,1324.34,3283.09,361.31
28/01/1993,1192.52,404.927,687.79,207.046,1340.9,3293.01,357.758
29/01/1993,1245.21,409.922,679.96,209.006,1343.18,3251.23,359.159
1/02/1993,1332.13,411.13,663.57,209.006,1337.52,3501.23,356.756
2/02/1993,1368.12,405.696,666.18,210.936,1334.73,3542.26,358.056
3/02/1993,1362.45,411.295,678.34,215.178,1331.68,3553.36,360.862
4/02/1993,1439.49,421.219,684.04,215.884,1337.04,3571.49,361.897
5/02/1993,1395.82,427.677,677.31,216.772,1342.01,3621.46,365.452
8/02/1993,1458.46,431.542,672.18,216.342,1379.89,3648.75,368.619
9/02/1993,1547.58,436.037,675.33,215.471,1374.54,3637.03,366.258
10/02/1993,1526.39,440.182,677.25,215.601,1379.67,3578.1,372.916
11/02/1993,1464.36,440.091,681.6,215.468,1403.61,3621.43,375.901
12/02/1993,1530.96,441.563,683.4,217.604,1404.65,3775.19,380.311
15/02/1993,1615.94,447.232,677.52,217.419,1406.09,3876.76,380.474
16/02/1993,1589.99,450.147,672.22,216.531,1413.08,3874.73,375.671
17/02/1993,1579.4,448.782,665.12,213.277,1409.11,4001.16,371.044
18/02/1993,1582.27,447.293,653.91,212.516,1458.26,3961.5,366.607
19/02/1993,1571.66,442.311,654.52,215.735,1473.24,3912.67,369.21
22/02/1993,1521.88,443.678,674.71,216.823,1471.87,4098.44,362.088
23/02/1993,1423.01,442.585,676.62,216.441,1474.92,4071.49,362.204
24/02/1993,1310.81,442.408,672.81,217.744,1482.46,4049.5,366.973
25/02/1993,1471.1,443.31,655.61,219.003,1482.46,4156.88,363.401
26/02/1993,1393.99,443.236,644.7,219.326,1519.37,4278.63,353.297
1/03/1993,1240.97,442.78,644.7,219.366,1494.39,4517.59,339.515
2/03/1993,1290.89,443.789,633.73,219.303,1473.95,4344.99,346.096
3/03/1993,1277.54,443.765,632.99,218.964,1518.67,4582.61,338.441
4/03/1993,1199.13,450.908,622.22,219.902,1539.85,4737.32,339.158
5/03/1993,1172.48,453.862,615.57,220.548,1543.15,4731.85,338.166
8/03/1993,1252.84,453.589,625.62,220.606,1527.48,4601.58,338.166
9/03/1993,1175.45,455.717,626.23,219.401,1529.5,4474.47,334.778
10/03/1993,1232.23,457.533,626.23,221.638,1529.82,4474.4,341.761
11/03/1993,1311.54,455.098,615.26,220.909,1503.73,4619.38,342.191
12/03/1993,1283.52,453.659,628.16,220.978,1494.68,4564.53,347.727
15/03/1993,1221.2,449.784,645.73,218.14,1471.65,4507,343.137
16/03/1993,1270.07,450.277,637.87,219.727,1475.78,4489.99,344.041
17/03/1993,1249.17,447.104,663.05,221.3,1456.04,4511.62,344.188
18/03/1993,1231.79,444.332,666.39,220.917,1435.58,4664.46,342.834
19/03/1993,1221.64,446.252,668.63,219.411,1453.72,4589.92,347.081
22/03/1993,1071.74,446.252,658.75,218.564,1455.6,4674.28,342.146
23/03/1993,1001.95,446.252,666.95,219.088,1443.25,4647.23,338.595
24/03/1993,989.33,446.252,666.66,219.088,1460.3,4654.68,337.111
25/03/1993,975.25,446.252,662.69,219.088,1452.57,4652.68,332.319
26/03/1993,1075.11,446.252,659.02,219.088,1451.01,4602.71,328.24
29/03/1993,1002.63,444.442,653.21,220.301,1440.1,4606.65,324.3
30/03/1993,986.4,449.476,665.02,220.492,1448.4,4750.7,319.79
31/03/1993,952.41,448.802,666.75,222.694,1452.67,4825.29,324.08
1/04/1993,976.17,450.161,665.61,225.376,1460.29,4795.17,321.524
2/04/1993,971.88,449.96,681.37,226.855,1480.3,4948.62,325.461
5/04/1993,976.22,446.338,681.37,228.819,1515.4,4948.62,324.947
6/04/1993,1096.53,446.138,697.11,229.135,1529.38,4948.62,324.947
7/04/1993,1139.39,445.129,699.49,232.282,1556.13,5013.28,326.329
8/04/1993,1286.08,446.371,695.07,230.757,1556.13,4925.15,329.249
9/04/1993,1293.88,446.371,702.93,230.486,1556.13,4847.13,331.395
12/04/1993,1250.39,446.726,720.96,232.103,1564.89,4682.27,331.395
13/04/1993,1352.46,445.029,720.52,231.413,1564.35,4597.66,331.395
14/04/1993,1325.7,446.406,704.92,234.05,1578.85,4575.85,331.395
15/04/1993,1332.53,448.485,716.76,233.936,1583.25,4695.49,338.662
16/04/1993,1263.69,448.938,706.86,234.438,1580.68,4534.19,345.409
19/04/1993,1273.14,450.938,725.76,236.248,1568.65,4577.48,346.531
20/04/1993,1286.53,453.921,721.66,240.166,1554.81,4448.43,343.586
21/04/1993,1273.06,454.845,733.58,245.276,1532.76,4482.63,347.959
22/04/1993,1321.35,454.589,737.59,245.071,1540.7,4631.69,353.639
23/04/1993,1313.44,453.496,735.7,244.445,1546.99,4569.25,353.06
26/04/1993,1404.98,454.13,730.92,244.028,1552.41,4547.78,346.119
27/04/1993,1424.06,454.899,722.96,245.141,1549.39,4506.11,342.314
28/04/1993,1433.92,457.839,728.41,245.488,1564.67,4527.07,336.641
29/04/1993,1409.47,458.501,724.76,250.538,1594.59,4527.47,333.539
30/04/1993,1419.13,463.701,721.57,256.571,1604.33,4563.52,331.729
3/05/1993,1412.49,463.32,718.59,256.448,1615.46,4473.8,331.729
4/05/1993,1293.42,464.848,719.83,251.512,1636.52,4448.18,325.6
5/05/1993,1299.58,463.291,719.83,251.568,1654.39,4449.32,325.6
6/05/1993,1210.02,463.291,710.8,251.568,1643.5,4492.48,333.388
7/05/1993,1249.09,466.011,703.85,253.412,1653.91,4573.42,332.269
10/05/1993,1172.96,469.765,704.22,253.755,1642.62,4687.12,331.626
11/05/1993,1181.76,468.771,701.36,251.973,1607.61,4678.51,334.794
12/05/1993,1185.45,475.116,700.08,253.782,1605.71,4718.23,339.504
13/05/1993,1224.98,480.12,710.61,255.721,1596.19,4664.58,342.969
14/05/1993,1214.62,483.369,707.01,257.612,1604.73,4575.8,344.808
17/05/1993,1185.58,487.936,717.17,258.744,1616.04,4460.11,346.235
18/05/1993,1175.92,488.463,722.61,261.222,1596.14,4495.39,342.803
19/05/1993,1194.98,491.43,724.76,262.578,1574.36,4446.54,340.584
20/05/1993,1215.81,491.43,727.37,264.374,1575.72,4346.63,338.113
21/05/1993,1193.72,490.435,727.99,260.165,1572.1,4300.25,335.324
24/05/1993,1068.39,494.856,733.91,259.416,1577.71,4258.92,328.933
25/05/1993,1037.37,497.851,727.27,261.489,1592.64,4227.05,329.088
26/05/1993,1034.41,497.682,729.91,262.977,1608.85,4245.28,325.323
27/05/1993,1001.18,501.988,737.22,264.504,1609.03,4209.95,322.906
28/05/1993,1011.41,507.002,737.22,264.671,1597.45,4356.1,326.006
31/05/1993,972.27,516.089,752.31,264.671,1588.76,4267.9,321.328
1/06/1993,965.46,516.089,751.97,266.198,1580.26,4316.43,318.64
2/06/1993,1129.88,522.382,759.81,266.551,1572.56,4302.24,319.705
